# Early Successional Microplot Biomass (Sorted to species)
#
# Original Data Source: https://lter.kbs.msu.edu/datatables/154
# The newest version of the data https://lter.kbs.msu.edu/datatables/154.csv
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/60.eml
#
# These Data are copyrighted and use in a publication requires written permission
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/
# Use of the data constitutes acceptance of the terms.
#
#     VARIATE TABLE
# sample_date		date of sampling
# species		species observed
# treatment		LTER treatment identifier
# replicate		replicate
# method		the sampling protocol used. "sorted to species" means that the samples were sorted to species and any remaining material is classified as unsorted. "not_sorted" means that no attempt was made to sort and the material is just classified as unsorted.
# disturbed		has the plot been tilled annually (true or false)
# fertilized		has nitrogen fertilizer been applied to the plot (true or false)
# biomass_g_m2	gramsPerSquareMeter	dry biomass measured per square meter
# area_sampled	squareMeter	area that was sampled
#
#
#        DATA TABLE CORRECTIONS AND COMMENTS
#
#
sample_date,species,treatment,replicate,method,disturbed,fertilized,biomass_g_m2,area_sampled
#,,,,,,,gramsPerSquareMeter,squareMeter
2014-09-03,Erigeron annuus (L.) Pers.,T7,R1,sorted_to_species,disturbed,fertilized,0.01,1
2014-09-03,Elymus repens (L.) Gould,T7,R1,sorted_to_species,disturbed,fertilized,1.03,1
2014-09-03,Surface Litter,T7,R1,sorted_to_species,disturbed,fertilized,1.89,1
2014-09-03,Ambrosia artemisiifolia L.,T7,R1,sorted_to_species,disturbed,unfertilized,71.93,1
2014-09-03,Cyperus esculentus L.,T7,R1,sorted_to_species,disturbed,unfertilized,66.21,1
2014-09-03,Panicum dichotomiflorum Michx.,T7,R1,sorted_to_species,disturbed,unfertilized,24.04,1
2014-09-03,Chenopodium album L.,T7,R1,sorted_to_species,disturbed,unfertilized,17.78,1
2014-09-03,UnSorted,T7,R1,sorted_to_species,disturbed,unfertilized,12.7,1
2014-09-03,Abutilon theophrasti Medikus,T7,R1,sorted_to_species,disturbed,unfertilized,6.83,1
2014-09-03,Surface Litter,T7,R1,sorted_to_species,disturbed,unfertilized,1.78,1
2014-09-03,Eragrostis cilianensis (All.) E.Mosher,T7,R1,sorted_to_species,disturbed,unfertilized,0.77,1
2014-09-03,Digitaria ischaemum (Schreb. Ex Schweig.) Schreb. ex Muhl.,T7,R1,sorted_to_species,disturbed,unfertilized,0.12,1
2014-09-03,Panicum capillare L.,T7,R1,sorted_to_species,disturbed,unfertilized,0.06,1
2014-09-03,Amaranthus retroflexus L.,T7,R1,sorted_to_species,disturbed,unfertilized,0.02,1
2014-09-03,Persicaria maculosa  Gray,T7,R1,sorted_to_species,disturbed,unfertilized,0.02,1
2014-09-03,Setaria faberi Herrm.,T7,R1,sorted_to_species,disturbed,fertilized,584.63,1
2014-09-03,Ambrosia artemisiifolia L.,T7,R1,sorted_to_species,disturbed,fertilized,435.14,1
2014-09-03,Digitaria sanguinalis (L.) Scop.,T7,R1,sorted_to_species,disturbed,fertilized,32.19,1
2014-09-03,UnSorted,T7,R1,sorted_to_species,disturbed,fertilized,29.61,1
2014-09-03,Chenopodium album L.,T7,R1,sorted_to_species,disturbed,fertilized,13.14,1
2014-09-03,Abutilon theophrasti Medikus,T7,R1,sorted_to_species,disturbed,fertilized,11.49,1
2014-09-03,Panicum dichotomiflorum Michx.,T7,R1,sorted_to_species,disturbed,fertilized,7.01,1
2014-09-03,Digitaria sanguinalis (L.) Scop.,T7,R1,sorted_to_species,disturbed,unfertilized,80.34,1
2014-09-03,Setaria faberi Herrm.,T7,R1,sorted_to_species,disturbed,unfertilized,84.98,1
2014-09-03,Cyperus esculentus L.,T7,R1,sorted_to_species,disturbed,fertilized,0.61,1
2014-09-03,Digitaria ischaemum (Schreb. Ex Schweig.) Schreb. ex Muhl.,T7,R1,sorted_to_species,disturbed,fertilized,0.26,1
2014-09-03,Eragrostis cilianensis (All.) E.Mosher,T7,R1,sorted_to_species,disturbed,fertilized,0.09,1
2014-09-03,Oxalis stricta L.,T7,R1,sorted_to_species,disturbed,fertilized,0.02,1
2014-09-03,Eragrostis cilianensis (All.) E.Mosher,T7,R2,sorted_to_species,disturbed,unfertilized,0.09,1
2014-09-03,Setaria faberi Herrm.,T7,R2,sorted_to_species,disturbed,unfertilized,252.93,1
2014-09-03,Digitaria sanguinalis (L.) Scop.,T7,R2,sorted_to_species,disturbed,unfertilized,89.62,1
2014-09-03,Ambrosia artemisiifolia L.,T7,R2,sorted_to_species,disturbed,unfertilized,74.16,1
2014-09-03,Cyperus esculentus L.,T7,R2,sorted_to_species,disturbed,unfertilized,67.59,1
2014-09-03,UnSorted,T7,R2,sorted_to_species,disturbed,unfertilized,23.81,1
2014-09-03,Chenopodium album L.,T7,R2,sorted_to_species,disturbed,unfertilized,12.83,1
2014-09-03,Digitaria ischaemum (Schreb. Ex Schweig.) Schreb. ex Muhl.,T7,R2,sorted_to_species,disturbed,unfertilized,5.17,1
2014-09-03,Setaria pumila (Poir.) Roem. & Schult,T7,R2,sorted_to_species,disturbed,unfertilized,2.86,1
2014-09-03,Surface Litter,T7,R2,sorted_to_species,disturbed,unfertilized,1.79,1
2014-09-03,Panicum dichotomiflorum Michx.,T7,R2,sorted_to_species,disturbed,unfertilized,0.5,1
2014-09-03,Amaranthus retroflexus L.,T7,R2,sorted_to_species,disturbed,unfertilized,0.25,1
2014-09-03,Polygonum pensylvanicum L.,T7,R2,sorted_to_species,disturbed,unfertilized,0.19,1
2014-09-03,Abutilon theophrasti Medikus,T7,R2,sorted_to_species,disturbed,unfertilized,0.1,1
2014-09-03,Arabidopsis thaliana (L.) Heynh.,T7,R2,sorted_to_species,disturbed,unfertilized,0.01,1
2014-09-03,Setaria faberi Herrm.,T7,R2,sorted_to_species,disturbed,fertilized,830.92,1
2014-09-03,Ambrosia artemisiifolia L.,T7,R2,sorted_to_species,disturbed,fertilized,95.49,1
2014-09-03,Cyperus esculentus L.,T7,R2,sorted_to_species,disturbed,fertilized,52.54,1
2014-09-03,UnSorted,T7,R2,sorted_to_species,disturbed,fertilized,51.25,1
2014-09-03,Digitaria sanguinalis (L.) Scop.,T7,R2,sorted_to_species,disturbed,fertilized,36.61,1
2014-09-03,Chenopodium album L.,T7,R2,sorted_to_species,disturbed,fertilized,35.55,1
2014-09-03,Polygonum pensylvanicum L.,T7,R2,sorted_to_species,disturbed,fertilized,9.29,1
2014-09-03,Setaria pumila (Poir.) Roem. & Schult,T7,R2,sorted_to_species,disturbed,fertilized,5.65,1
2014-09-03,Abutilon theophrasti Medikus,T7,R2,sorted_to_species,disturbed,fertilized,2.01,1
2014-09-03,Surface Litter,T7,R2,sorted_to_species,disturbed,fertilized,1.29,1
2014-09-03,Digitaria ischaemum (Schreb. Ex Schweig.) Schreb. ex Muhl.,T7,R2,sorted_to_species,disturbed,fertilized,0.83,1
2014-09-03,Amaranthus retroflexus L.,T7,R2,sorted_to_species,disturbed,fertilized,0.05,1
2014-09-03,Rumex crispus L.,T7,R2,sorted_to_species,disturbed,fertilized,0.02,1
2014-09-03,Setaria faberi Herrm.,T7,R3,sorted_to_species,disturbed,fertilized,624.78,1
2014-09-03,UnSorted,T7,R3,sorted_to_species,disturbed,fertilized,24.57,1
2014-09-03,Chenopodium album L.,T7,R3,sorted_to_species,disturbed,fertilized,22.96,1
2014-09-03,Digitaria sanguinalis (L.) Scop.,T7,R3,sorted_to_species,disturbed,fertilized,21.51,1
2014-09-03,Cyperus esculentus L.,T7,R3,sorted_to_species,disturbed,fertilized,9.85,1
2014-09-03,Abutilon theophrasti Medikus,T7,R3,sorted_to_species,disturbed,fertilized,3.22,1
2014-09-03,Surface Litter,T7,R3,sorted_to_species,disturbed,fertilized,2,1
2014-09-03,Ambrosia artemisiifolia L.,T7,R3,sorted_to_species,disturbed,fertilized,1.08,1
2014-09-03,Amaranthus retroflexus L.,T7,R3,sorted_to_species,disturbed,fertilized,0.98,1
2014-09-03,Persicaria maculosa  Gray,T7,R3,sorted_to_species,disturbed,fertilized,0.29,1
2014-09-03,Oxalis stricta L.,T7,R3,sorted_to_species,disturbed,fertilized,0.07,1
2014-09-03,Setaria faberi Herrm.,T7,R3,sorted_to_species,disturbed,unfertilized,134.89,1
2014-09-03,Digitaria sanguinalis (L.) Scop.,T7,R3,sorted_to_species,disturbed,unfertilized,77.06,1
2014-09-03,Cyperus esculentus L.,T7,R3,sorted_to_species,disturbed,unfertilized,47.05,1
2014-09-03,Chenopodium album L.,T7,R3,sorted_to_species,disturbed,unfertilized,8.01,1
2014-09-03,UnSorted,T7,R3,sorted_to_species,disturbed,unfertilized,6.27,1
2014-09-03,Digitaria ischaemum (Schreb. Ex Schweig.) Schreb. ex Muhl.,T7,R3,sorted_to_species,disturbed,unfertilized,4.91,1
2014-09-03,Surface Litter,T7,R3,sorted_to_species,disturbed,unfertilized,1.49,1
2014-09-03,Setaria pumila (Poir.) Roem. & Schult,T7,R3,sorted_to_species,disturbed,unfertilized,0.85,1
2014-09-03,Abutilon theophrasti Medikus,T7,R3,sorted_to_species,disturbed,unfertilized,0.32,1
2014-09-03,Oxalis stricta L.,T7,R3,sorted_to_species,disturbed,unfertilized,0.01,1
2014-09-03,Surface Litter,T7,R4,sorted_to_species,disturbed,unfertilized,3.34,1
2014-09-03,Panicum capillare L.,T7,R4,sorted_to_species,disturbed,fertilized,0.27,1
2014-09-03,Cyperus esculentus L.,T7,R4,sorted_to_species,disturbed,fertilized,1.9,1
2014-09-03,Surface Litter,T7,R4,sorted_to_species,disturbed,fertilized,4.14,1
2014-09-03,Abutilon theophrasti Medikus,T7,R4,sorted_to_species,disturbed,fertilized,2.57,1
2014-09-03,Amaranthus retroflexus L.,T7,R4,sorted_to_species,disturbed,fertilized,4.91,1
2014-09-03,Eragrostis cilianensis (All.) E.Mosher,T7,R4,sorted_to_species,disturbed,fertilized,5.74,1
2014-09-03,Panicum dichotomiflorum Michx.,T7,R4,sorted_to_species,disturbed,fertilized,5.78,1
2014-09-03,Chenopodium album L.,T7,R4,sorted_to_species,disturbed,fertilized,23.86,1
2014-09-03,UnSorted,T7,R4,sorted_to_species,disturbed,fertilized,32.74,1
2014-09-03,Digitaria sanguinalis (L.) Scop.,T7,R4,sorted_to_species,disturbed,fertilized,138.37,1
2014-09-03,Setaria faberi Herrm.,T7,R4,sorted_to_species,disturbed,fertilized,852.75,1
2014-09-03,Unknown dicot (*),T7,R4,sorted_to_species,disturbed,unfertilized,0.01,1
2014-09-03,Oxalis stricta L.,T7,R4,sorted_to_species,disturbed,unfertilized,0.01,1
2014-09-03,Eragrostis cilianensis (All.) E.Mosher,T7,R4,sorted_to_species,disturbed,unfertilized,0.01,1
2014-09-03,Amaranthus retroflexus L.,T7,R4,sorted_to_species,disturbed,unfertilized,0.02,1
2014-09-03,Digitaria ischaemum (Schreb. Ex Schweig.) Schreb. ex Muhl.,T7,R4,sorted_to_species,disturbed,unfertilized,0.34,1
2014-09-03,Abutilon theophrasti Medikus,T7,R4,sorted_to_species,disturbed,unfertilized,0.6,1
2014-09-03,Panicum capillare L.,T7,R4,sorted_to_species,disturbed,unfertilized,0.74,1
2014-09-03,Panicum dichotomiflorum Michx.,T7,R4,sorted_to_species,disturbed,unfertilized,2.81,1
2014-09-03,Setaria faberi Herrm.,T7,R4,sorted_to_species,disturbed,unfertilized,200.49,1
2014-09-03,Digitaria sanguinalis (L.) Scop.,T7,R4,sorted_to_species,disturbed,unfertilized,108.16,1
2014-09-03,Cyperus esculentus L.,T7,R4,sorted_to_species,disturbed,unfertilized,17.85,1
2014-09-03,UnSorted,T7,R4,sorted_to_species,disturbed,unfertilized,16.24,1
2014-09-03,Chenopodium album L.,T7,R4,sorted_to_species,disturbed,unfertilized,7.17,1
2014-09-03,Abutilon theophrasti Medikus,T7,R5,sorted_to_species,disturbed,unfertilized,3.02,1
2014-09-03,Unknown dicot (*),T7,R5,sorted_to_species,disturbed,fertilized,0.08,1
2014-09-03,Amaranthus retroflexus L.,T7,R5,sorted_to_species,disturbed,fertilized,1.65,1
2014-09-03,Surface Litter,T7,R5,sorted_to_species,disturbed,fertilized,1.94,1
2014-09-03,Abutilon theophrasti Medikus,T7,R5,sorted_to_species,disturbed,fertilized,2.58,1
2014-09-03,Cyperus esculentus L.,T7,R5,sorted_to_species,disturbed,fertilized,12.88,1
2014-09-03,Chenopodium album L.,T7,R5,sorted_to_species,disturbed,fertilized,53.74,1
2014-09-03,UnSorted,T7,R5,sorted_to_species,disturbed,fertilized,67.87,1
2014-09-03,Digitaria sanguinalis (L.) Scop.,T7,R5,sorted_to_species,disturbed,fertilized,80.47,1
2014-09-03,Setaria faberi Herrm.,T7,R5,sorted_to_species,disturbed,fertilized,1056.85,1
2014-09-03,Arabidopsis thaliana (L.) Heynh.,T7,R5,sorted_to_species,disturbed,unfertilized,0.04,1
2014-09-03,Oxalis stricta L.,T7,R5,sorted_to_species,disturbed,unfertilized,0.07,1
2014-09-03,Erigeron annuus (L.) Pers.,T7,R5,sorted_to_species,disturbed,unfertilized,0.15,1
2014-09-03,Polygonum pensylvanicum L.,T7,R5,sorted_to_species,disturbed,unfertilized,0.39,1
2014-09-03,Surface Litter,T7,R5,sorted_to_species,disturbed,unfertilized,0.74,1
2014-09-03,Digitaria ischaemum (Schreb. Ex Schweig.) Schreb. ex Muhl.,T7,R5,sorted_to_species,disturbed,unfertilized,1.01,1
2014-09-03,Digitaria sanguinalis (L.) Scop.,T7,R5,sorted_to_species,disturbed,unfertilized,3.35,1
2014-09-03,Chenopodium album L.,T7,R5,sorted_to_species,disturbed,unfertilized,18.69,1
2014-09-03,Cyperus esculentus L.,T7,R5,sorted_to_species,disturbed,unfertilized,24.93,1
